Date	OR	Odor	Concentration	NormalizedLuc
110609	1532	1295	0	5.3684
110609	1459	1295	0	0.27172
110609	1515	1295	0	0.31671
110609	1467	1295	0	0.28492
110609	1474	1295	0	0.25932
110609	1465	1295	0	0.26282
110609	1500	1295	0	0.18298
110609	1475	1295	0	0.26944
110609	1536	1299	0	3.6328
110609	1530	1299	0	0.35336
110609	1529	1299	0	0.23016
110609	1515	1299	0	0.21836
110609	1531	1299	0	0.26398
110609	1516	1299	0	0.25037
110609	1476	1299	0	0.26599
110609	1463	1299	0	0.33396
110609	1536	1294	0	3.7537
110609	1515	1294	0	0.31192
110609	1526	1294	0	0.29172
110609	1475	1294	0	0.26632
110609	1536	1302	0	4.6241
110609	1529	1302	0	0.29701
110609	1530	1302	0	0.29688
110609	1531	1302	0	0.2657
110609	1534	1296	0	0.38815
110609	1533	1296	0	2.3229
110609	1535	1296	0	0.34778
110609	1532	1296	0	6.2024
110609	1506	1296	0	0.39216
110609	1536	1296	0	3.4529
110609	1461	1298	0	0.25967
110609	1515	1298	0	0.25725
110609	1536	1301	0	3.4605
110609	1530	1301	0	0.30417
110609	1529	1301	0	0.18405
110609	1531	1301	0	0.19171
110609	1528	1301	0	0.24653
110609	1515	1300	0	0.31484
110609	1516	1300	0	0.27688
110609	1536	1300	0	3.3322
110609	1536	1292	0	3.5132
110609	1532	1292	0	6.8018
110609	1529	1292	0	0.2291
110609	1530	1292	0	0.3581
110609	1529	1293	0	0.24888
110609	1530	1293	0	0.21322
110609	1516	1293	0	0.23176
110909	1117	1308	0	0.071749
110909	1045	1308	0	0.036963
110909	1039	1308	0	0.04431
110909	1062	1308	0	0.036689
110909	1029	1308	0	0.04033
110909	1028	1308	0	0.039109
110909	1079	1308	0	0.069656
110909	1061	1308	0	0.048896
110909	1073	1311	0	0.1027
110909	1115	1311	0	0.07332
110909	1031	1311	0	0.066376
110909	1072	1311	0	0.054284
110909	1107	1311	0	0.107
110909	1052	1311	0	0.046978
110909	1047	1311	0	0.052195
110909	1039	1311	0	0.055673
110909	1029	1309	0	0.038925
110909	1046	1309	0	0.045335
110909	1036	1309	0	0.054446
110909	1033	1309	0	0.05991
110909	1041	1309	0	0.0521
110909	1039	1309	0	0.045195
110909	1098	1309	0	0.088013
110909	1062	1309	0	0.039387
110909	1046	1310	0	0.064353
110909	1117	1310	0	0.085126
110909	1055	1310	0	0.054537
110909	1041	1310	0	0.055829
110909	1064	1310	0	0.057806
110909	1031	1310	0	0.057915
110909	1107	1310	0	0.078862
110909	1072	1310	0	0.044633
110909	1116	1310	0	0.087852
110909	1028	1310	0	0.064758
110909	1067	1313	0	0.85166
110909	1062	1313	0	0.069647
110909	1073	1307	0	0.13157
110909	1029	1307	0	0.044977
110909	1062	1312	0	0.07817
110909	1041	1312	0	0.051182
110909	1041	1303	0	0.063834
110909	1067	1303	0	1.2609
110909	1079	1303	0	0.17086
110909	1056	1304	0	0.061358
110909	1041	1304	0	0.071766
110909	1025	1305	0	0.08265
110909	1067	1306	0	1.3617
111209	1287	1309	0	1.8079
111209	1258	1309	0	0.0716
111209	1288	1309	0	0.2765
111209	1306	1309	0	0.10478
111209	1307	1309	0	0.051319
111209	1294	1309	0	0.28806
111209	1272	1309	0	0.057867
111209	1298	1309	0	0.081589
111209	1324	1303	0	0.19546
111209	1262	1303	0	0.22106
111209	1244	1303	0	0.094547
111209	1295	1303	0	0.059467
111209	1348	1303	0	0.16761
111209	1284	1304	0	0.059439
111209	1272	1304	0	0.077108
111209	1282	1304	0	0.14815
111209	1287	1310	0	0.086677
111209	1289	1310	0	0.075729
111209	1248	1310	0	0.071708
111209	1272	1310	0	0.1434
111209	1258	1310	0	0.042162
111209	1329	1310	0	0.1005
111209	1284	1310	0	0.049049
111209	1326	1310	0	0.067479
111209	1335	1310	0	0.10685
111209	1350	1310	0	0.084294
111209	1270	1310	0	0.096639
111209	1295	1310	0	0.070098
111209	1288	1310	0	0.1558
111209	1339	1310	0	0.075433
111209	1266	1310	0	0.048826
111209	1283	1310	0	0.097226
111209	1287	1311	0	0.09014
111209	1270	1311	0	0.11255
111209	1279	1311	0	0.15635
111209	1318	1311	0	0.091414
111209	1289	1311	0	0.081385
111209	1309	1311	0	0.078367
111209	1244	1311	0	0.059256
111209	1274	1311	0	0.079573
111209	1283	1311	0	0.15205
111209	1284	1311	0	0.1369
111209	1287	1306	0	0.11108
111209	1284	1306	0	0.28254
111209	1287	1313	0	0.10821
111209	1287	1312	0	0.093823
111209	1272	1307	0	0.098537
111609	1190	1308	0	0.18959
111609	1198	1308	0	0.25609
111609	1188	1308	0	0.22678
111609	1185	1308	0	0.21609
111609	1170	1308	0	0.13052
111609	1192	1308	0	0.17112
111609	1177	1308	0	0.15785
111609	1218	1308	0	0.13812
111609	1139	1310	0	0.20276
111609	1134	1310	0	0.20318
111609	1142	1310	0	0.20031
111609	1183	1310	0	0.30221
111609	1135	1310	0	0.15513
111609	1181	1310	0	0.22987
111609	1143	1310	0	0.15063
111609	1188	1310	0	0.14998
